label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.22983406484127045,0.8059831857681274,-6.318135206129227e-07,0.2680836021900177,0.6516916155815125,0.021773725748062134,0.3512721359729767,0.5693952441215515,0.029842643067240715,0.43164414167404175,0.5270470976829529,0.033262792974710464,0.47222813963890076,0.46834123134613037,0.03956631198525429,0.42190781235694885,0.5825361609458923,0.00823636632412672,0.5325255990028381,0.5848572254180908,0.00327782379463315,0.5058504939079285,0.6029614806175232,0.005934048444032669,0.4630376398563385,0.6147164702415466,0.01248308178037405,0.44164204597473145,0.6719563007354736,-0.00570408022031188,0.5443056225776672,0.6665773391723633,0.0035625130403786898,0.5089864730834961,0.6755928993225098,0.01570812053978443,0.46841666102409363,0.6840721964836121,0.022149354219436646,0.4462876319885254,0.7614579200744629,-0.01766955293715,0.5420634150505066,0.7465960383415222,-0.0058148945681750774,0.5064904689788818,0.7503393292427063,0.014684945344924927,0.4673615097999573,0.7568933963775635,0.024088267236948013,0.44077107310295105,0.8415513038635254,-0.027904320508241653,0.5162816047668457,0.8220416903495789,-0.011183465830981731,0.48861822485923767,0.8166803121566772,0.012451664544641972,0.45470234751701355,0.8183818459510803,0.027268657460808754
B,0.14364446699619293,0.8238783478736877,3.839674604932952e-07,0.22611461579799652,0.7612891793251038,-0.0316474474966526,0.27779334783554077,0.6550477147102356,-0.042193010449409485,0.24526455998420715,0.548340916633606,-0.0516786202788353,0.1867794692516327,0.49070703983306885,-0.0607607364654541,0.2859835624694824,0.5233578681945801,-0.00847812183201313,0.3020246922969818,0.40000975131988525,-0.029821310192346573,0.3005252778530121,0.321047842502594,-0.051160480827093124,0.29575493931770325,0.2504563629627228,-0.06807099282741547,0.23447555303573608,0.4945533573627472,-0.01394235622137785,0.2517871558666229,0.34962522983551025,-0.03205420821905136,0.258787602186203,0.25692272186279297,-0.05221206322312355,0.26221925020217896,0.1808491349220276,-0.06740076094865799,0.18315187096595764,0.4995746910572052,-0.02529202587902546,0.19529318809509277,0.359216570854187,-0.04693951457738876,0.20215855538845062,0.2724207639694214,-0.06502576917409897,0.20367074012756348,0.200402170419693,-0.07700329273939133,0.12642545998096466,0.5277194976806641,-0.040177784860134125,0.1361955851316452,0.42483556270599365,-0.06058487296104431,0.1450420320034027,0.3549538850784302,-0.07029993832111359,0.15081414580345154,0.2916555404663086,-0.07679888606071472
A,0.18584759533405304,0.7750871181488037,-5.844894985784777e-07,0.2795729339122772,0.7317160964012146,-0.049324531108140945,0.3609374165534973,0.5984548926353455,-0.0613621287047863,0.37776654958724976,0.47311240434646606,-0.06552860140800476,0.3991518020629883,0.38962018489837646,-0.05696124956011772,0.30798548460006714,0.4654122292995453,-0.030587773770093918,0.3311823606491089,0.4106365144252777,-0.0739099457859993,0.31362152099609375,0.5307355523109436,-0.08340593427419662,0.29279765486717224,0.5469118356704712,-0.08537693321704865,0.23325903713703156,0.45889413356781006,-0.022552313283085823,0.2565229535102844,0.41334789991378784,-0.06780265271663666,0.2501322329044342,0.5571689009666443,-0.06499648094177246,0.23453709483146667,0.550122082233429,-0.05388681963086128,0.16203662753105164,0.4715733528137207,-0.02366551198065281,0.17604327201843262,0.43059659004211426,-0.073899045586586,0.18611539900302887,0.5638136267662048,-0.048142265528440475,0.1795252561569214,0.5610358119010925,-0.02161645144224167,0.08929149806499481,0.4911463260650635,-0.028102723881602287,0.09952132403850555,0.47721919417381287,-0.05724027007818222,0.12274935096502304,0.5691147446632385,-0.03652756288647652,0.1262478232383728,0.5730611681938171,-0.014786791987717152
B,0.08988796919584274,0.7335584759712219,4.624019425136794e-07,0.17747695744037628,0.6526448726654053,-0.04304835572838783,0.221029594540596,0.5258098244667053,-0.05392531678080559,0.17162279784679413,0.4064251184463501,-0.06276874244213104,0.09904881566762924,0.343945175409317,-0.07067768275737762,0.22617198526859283,0.384288489818573,-0.0029515118803828955,0.22855012118816376,0.2492484599351883,-0.02324589714407921,0.21707722544670105,0.15906745195388794,-0.04759880155324936,0.20620334148406982,0.07450029253959656,-0.06924203783273697,0.164073646068573,0.36039605736732483,-0.00496338028460741,0.16349397599697113,0.21194705367088318,-0.023832878097891808,0.1609337478876114,0.11290037631988525,-0.05020758882164955,0.1601472944021225,0.02435782551765442,-0.07162971049547195,0.10517475008964539,0.3733443021774292,-0.014992405660450459,0.09648367017507553,0.2302757054567337,-0.04136345908045769,0.09544471651315689,0.1377113163471222,-0.06568487733602524,0.0930292010307312,0.05640202760696411,-0.08220352232456207,0.04246974736452103,0.4107038378715515,-0.03002672828733921,0.03808632493019104,0.2915470004081726,-0.05713706091046333,0.04063858091831207,0.21025042235851288,-0.07331443578004837,0.044177837669849396,0.13268238306045532,-0.08476287126541138
C,0.0628620982170105,0.668450117111206,4.2052437265738263e-07,0.16619515419006348,0.6379491686820984,0.022115206345915794,0.24624675512313843,0.5855996012687683,0.016160812228918076,0.311629056930542,0.5582610368728638,-0.0054708318784832954,0.36906981468200684,0.5339005589485168,-0.026750795543193817,0.17940814793109894,0.35292914509773254,0.04653994366526604,0.22581927478313446,0.2331801950931549,0.02257375977933407,0.29497793316841125,0.24729345738887787,-0.003373811487108469,0.3459935784339905,0.29039937257766724,-0.01876792311668396,0.15476128458976746,0.3419232666492462,0.011866231448948383,0.21199581027030945,0.19954703748226166,-0.011893483810126781,0.2924036681652069,0.21726864576339722,-0.03494736924767494,0.3426039218902588,0.27593374252319336,-0.04745938628911972,0.13456538319587708,0.34532657265663147,-0.026517657563090324,0.19869621098041534,0.20156055688858032,-0.047507159411907196,0.2841355502605438,0.217643603682518,-0.059124696999788284,0.338319331407547,0.2737225890159607,-0.06316523253917694,0.1255694180727005,0.3698055148124695,-0.06537166982889175,0.19781483709812164,0.2730621099472046,-0.08259423077106476,0.2686424255371094,0.2707306146621704,-0.08665291965007782,0.31831228733062744,0.30291253328323364,-0.08590330928564072
D,0.2022930085659027,0.7575931549072266,3.881241070757824e-07,0.30434784293174744,0.6528190970420837,0.047594163566827774,0.35914328694343567,0.5678327083587646,0.054647281765937805,0.4064125418663025,0.5138213038444519,0.03938863426446915,0.4392157196998596,0.44717419147491455,0.022186825051903725,0.22745588421821594,0.41117557883262634,0.08004307001829147,0.2520001232624054,0.29113131761550903,0.08061567693948746,0.2652592957019806,0.21322137117385864,0.07378547638654709,0.2695659101009369,0.14922600984573364,0.06394577771425247,0.19909699261188507,0.408006489276886,0.03148755431175232,0.2989535629749298,0.29980823397636414,0.008358525112271309,0.37576431035995483,0.34044843912124634,-0.008972478099167347,0.4098236560821533,0.40365734696388245,-0.013611017726361752,0.1915627121925354,0.4245981276035309,-0.0169913899153471,0.2979196310043335,0.31918865442276,-0.04139075055718422,0.37379172444343567,0.369375079870224,-0.040508173406124115,0.4067983627319336,0.4349866509437561,-0.03200375288724899,0.20569515228271484,0.45423027873039246,-0.06331474334001541,0.2903626561164856,0.3620191216468811,-0.07778511196374893,0.35525283217430115,0.38213521242141724,-0.06866437941789627,0.3928666114807129,0.4256364703178406,-0.05681849643588066
E,0.16449081897735596,0.6536061763763428,-2.062407418179646e-07,0.25112318992614746,0.6071877479553223,-0.028941640630364418,0.3035517632961273,0.4856206178665161,-0.04292507842183113,0.2600488066673279,0.3871366083621979,-0.05782390385866165,0.18644069135189056,0.3735407590866089,-0.069302499294281,0.28481996059417725,0.3380560278892517,-0.020592160522937775,0.3034733533859253,0.21220703423023224,-0.05908173695206642,0.3223273754119873,0.2665739357471466,-0.08826328068971634,0.3120146691799164,0.34446966648101807,-0.10151103883981705,0.22838285565376282,0.32080596685409546,-0.025515278801321983,0.23155318200588226,0.16881847381591797,-0.05593318119645119,0.261881023645401,0.23669764399528503,-0.07426335662603378,0.2577219605445862,0.32417064905166626,-0.08047278970479965,0.17305970191955566,0.33118918538093567,-0.03566116467118263,0.16558539867401123,0.18675431609153748,-0.06272927671670914,0.20326218008995056,0.24664029479026794,-0.06867381185293198,0.20532049238681793,0.3282811939716339,-0.06625676155090332,0.11252939701080322,0.35801106691360474,-0.04914519190788269,0.11530444025993347,0.25057825446128845,-0.0715329572558403,0.15179696679115295,0.28404557704925537,-0.07298655062913895,0.16271080076694489,0.3492257297039032,-0.06943483650684357
F,0.2149072289466858,0.6625666618347168,4.1006003925758705e-07,0.30506187677383423,0.5995991230010986,0.00010878794273594394,0.36692166328430176,0.5506960153579712,-0.017219802364706993,0.41981083154678345,0.5167919993400574,-0.04346243664622307,0.4578581750392914,0.46440649032592773,-0.06817667186260223,0.29118821024894714,0.38556262850761414,0.006845755036920309,0.3649415373802185,0.3361973464488983,-0.04720369726419449,0.4092954695224762,0.3786433935165405,-0.09232468903064728,0.4378724694252014,0.4336358904838562,-0.11501480638980865,0.2609955966472626,0.35874563455581665,-0.021360497921705246,0.2997494339942932,0.23661011457443237,-0.06385694444179535,0.3620564639568329,0.19137395918369293,-0.09376391023397446,0.42127230763435364,0.1738211065530777,-0.10998641699552536,0.2227422595024109,0.36527395248413086,-0.056897588074207306,0.23875834047794342,0.22419270873069763,-0.09821058064699173,0.28678786754608154,0.1555270254611969,-0.12357284873723984,0.33847999572753906,0.10877075791358948,-0.13517728447914124,0.19057443737983704,0.39550530910491943,-0.09289045631885529,0.17878174781799316,0.28704845905303955,-0.12430840730667114,0.1719006896018982,0.19734525680541992,-0.13819895684719086,0.1714937686920166,0.11984682083129883,-0.14531967043876648
G,0.0824316143989563,0.6552630662918091,1.8797003065174067e-07,0.1255645900964737,0.525044322013855,-0.010583682917058468,0.22430574893951416,0.47989264130592346,-0.024554213508963585,0.32202962040901184,0.5047984719276428,-0.03243529051542282,0.38431936502456665,0.5504595637321472,-0.03769189119338989,0.19519680738449097,0.45629802346229553,-0.06568395346403122,0.30177125334739685,0.4095347225666046,-0.09028893709182739,0.36819523572921753,0.3860566020011902,-0.10091650485992432,0.4231366217136383,0.37226128578186035,-0.1069801077246666,0.21065470576286316,0.5478569269180298,-0.07253704220056534,0.34746718406677246,0.5287474989891052,-0.10521192103624344,0.32141852378845215,0.527193546295166,-0.10383892059326172,0.272903174161911,0.5287125110626221,-0.09376370906829834,0.22619076073169708,0.6304196119308472,-0.07571403682231903,0.3458749055862427,0.5920405983924866,-0.08977704495191574,0.3188731074333191,0.5781752467155457,-0.06845458596944809,0.2815587818622589,0.5763261914253235,-0.04831022396683693,0.23674966394901276,0.6986898183822632,-0.07980511337518692,0.3210785388946533,0.6433779001235962,-0.07162848114967346,0.301219642162323,0.6188228130340576,-0.04624946415424347,0.2719997763633728,0.6154330968856812,-0.02695092372596264
H,0.015822365880012512,0.679954469203949,1.2103362223570002e-06,0.05320023000240326,0.5502562522888184,-0.01904286816716194,0.14993765950202942,0.501420259475708,-0.0483291819691658,0.24957498908042908,0.5383419394493103,-0.07295829802751541,0.318041056394577,0.573589026927948,-0.0952318087220192,0.12998509407043457,0.4578215181827545,-0.09726051241159439,0.26710182428359985,0.42595919966697693,-0.13231247663497925,0.3452131748199463,0.41279008984565735,-0.14905743300914764,0.40605074167251587,0.4045809507369995,-0.158512145280838,0.14416393637657166,0.5540574193000793,-0.10564663261175156,0.28920450806617737,0.503578782081604,-0.14058133959770203,0.3812885880470276,0.47172942757606506,-0.15327264368534088,0.45311468839645386,0.4524584114551544,-0.16412048041820526,0.16037073731422424,0.6478102207183838,-0.10866515338420868,0.29961341619491577,0.5975736379623413,-0.13226935267448425,0.2656834125518799,0.5765978097915649,-0.11280707269906998,0.21494051814079285,0.5761103630065918,-0.09588262438774109,0.17884352803230286,0.724662184715271,-0.11323767900466919,0.26816946268081665,0.6536502242088318,-0.1233745738863945,0.24538059532642365,0.6249645352363586,-0.10225164890289307,0.2103259563446045,0.6254115700721741,-0.08405602723360062
